FoodName,DiningHall,Breakfast,Lunch,Dinner,Mealtime,Vegan,Vegetarian,Halal,Image,Description
Garlic Rosemary Potatoes,Commons,1,0,0,Breakfast,1,1,1,https://plantedinthekitchen.com/wp-content/uploads/2022/11/Rosemary-Garlic-Potatoes-5.jpg,"Garlic and rosemary seasoned roasted potatoes, providing a flavorful side dish to any meal."
Turkey Sausage links,Commons,1,0,0,Breakfast,0,0,0,https://www.thequickjourney.com/wp-content/uploads/2023/06/sausage-links-square.jpg,"Flavorful turkey sausage links, offering a savory, lean protein option for breakfast."
Mini Masher Potato Puffs,Commons,1,0,0,Breakfast,0,0,0,https://cdn.apartmenttherapy.info/image/upload/v1558477417/k/archive/31e4e5f03145b62e0bb4a7543f33bcc7c8329c6c.jpg,"Mini potato puffs, crispy on the outside and fluffy inside, perfect for a light snack."
Florentine Scramble,Commons,1,0,0,Breakfast,0,0,0,https://3.bp.blogspot.com/-YSq5ZmNCGiw/VMWHOuV6y5I/AAAAAAAAE-E/HAc2EmwUS9Y/s1600/IMG_2681.JPG,"Scrambled eggs with spinach, cheese, and herbs, providing a nutritious and savory breakfast option."
Roasted Sweet Potatoes,Commons,1,0,0,Breakfast,0,0,0,https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2023/09/Roasted-Sweet-Potatoes-main-1.jpg,"Sweet roasted sweet potatoes, caramelized to perfection for a delightful side dish."
Chicken Sausage Links,Commons,1,0,0,Breakfast,0,0,0,https://s3.amazonaws.com/grazecart/elmrunfarms/images/1586377765_5e8e3425a0906.jpg,"Flavorful chicken sausage links, offering a hearty protein option for breakfast."
Smoked Sausage Links,Commons,1,0,0,Breakfast,0,0,0,https://blog.thermoworks.com/wp-content/uploads/2023/08/MHot-Link-Sausage_b_IMG_0891-scaled.jpg,"Savory smoked sausage links, perfect for adding flavor and protein to breakfast plates."
Buttermilk Pancakes,Commons,1,0,0,Breakfast,0,0,0,https://www.olgasflavorfactory.com/wp-content/uploads/2021/06/Buttermilk-Pancakes-copy.jpg,"Fluffy buttermilk pancakes served warm, ideal for a sweet breakfast treat."
Hashbrown Patties,Commons,1,0,0,Breakfast,0,0,0,https://www.loveandotherspices.com/wp-content/uploads/2022/05/air-fryer-frozen-hash-brown-patties-crispy.jpg,"Crispy hashbrown patties, golden brown and delicious, perfect as a breakfast side."
Meat Lovers Scramble,Commons,1,0,0,Breakfast,0,0,0,https://olo-images-live.imgix.net/2b/2b4272e1cc6142f9b464de14306f41eb.jpg?auto=format%2Ccompress&q=60&cs=tinysrgb&w=1200&h=800&fit=fill&fm=png32&bg=transparent&s=32bcbb82e9544c981dd19b590ec64ed3,"Hearty scramble loaded with various meats and cheeses, perfect for breakfast lovers."
Turkey Bacon,Commons,1,0,0,Breakfast,0,0,0,https://foolproofliving.com/wp-content/uploads/2022/02/How-to-cook-turkey-bacon-in-the-oven-recipe.jpg,"Lean turkey bacon strips, offering a healthier twist on a breakfast classic."
Maple Sausage Links,Commons,1,0,0,Breakfast,0,0,0,https://cached.dakinfarm.com/RS/SR/Product/99/144_R_165d4faa.jpg,"Maple-flavored sausage links, providing a sweet and savory breakfast option."
Strudel Bites,Commons,1,0,0,Breakfast,0,0,0,https://www.kroger.com/product/images/large/front/0004157300374,"Sweet strudel bites filled with fruit, perfect for a delightful breakfast pastry."
Seasoned Potato Wedges,Commons,1,0,0,Breakfast,0,0,0,https://www.alyonascooking.com/wp-content/uploads/2020/04/oven-baked-potato-wedges-34.jpg,"Seasoned potato wedges, crispy and flavorful, perfect as a breakfast side or snack."
Churro,Commons,1,0,0,Breakfast,0,0,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrGoY33lfzmOdDTk-L-mtu4KhjAT0mXu3guw&s,"Sweet and crispy churro dusted with cinnamon sugar, offering a delightful treat."
Corned Beef Scramble,Commons,1,0,0,Breakfast,0,0,0,https://oldneighborhoodfoods.com/wp-content/uploads/2012/04/30_recipe_large-1.jpg,"Scrambled eggs with corned beef and spices, providing a hearty breakfast option."
Potato Triangles,Commons,1,0,0,Breakfast,1,1,1,https://www.foodfusion.com/wp-content/uploads/2018/12/Potato-Triangles-2-Ways-Recipe-by-Food-fusion-4.jpg?v=1587764205,"Crispy potato triangles, seasoned and golden brown, perfect for breakfast or snacking."
Pigs in a Blanket,Commons,1,0,0,Breakfast,0,0,0,"https://hips.hearstapps.com/hmg-prod/images/pigs-in-a-blanket-index-657cac59d58db.jpg?crop=0.6667767685108725xw:1xh;center,top&resize=1200:*","Bite-sized sausages wrapped in dough, providing a savory treat perfect for breakfast."
Cinnamon Poppers,Commons,1,0,0,Breakfast,0,0,0,https://i2.wp.com/www.kiwiandcarrot.com/wp-content/uploads/2018/06/BLOG-Photo2-2.jpg?fit=900%2C1176&ssl=1,"Sweet cinnamon poppers, offering a delightful pastry treat to start the day."
Zero Egg,Commons,1,0,0,Breakfast,0,0,0,https://images.squarespace-cdn.com/content/v1/5ef3db19071b253a0cdad63a/f9101a68-0e29-4a17-a6a8-862613191a6f/zeroegglanding.png,"Plant-based zero-egg scramble, providing a delicious, egg-free breakfast option."
Roasted Red Potatoes,Commons,1,0,0,Breakfast,1,1,1,https://www.dinneratthezoo.com/wp-content/uploads/2020/05/roasted-red-potatoes-6.jpg,"Flavorful roasted red potatoes, crispy on the outside and tender inside, ideal for any meal."
Honey Chili Glazed Chicken,Commons,0,1,0,Lunch,0,0,1,https://casuallypeckish.com/wp-content/uploads/2022/10/Crispy-honey-chilli-chicken-5.jpg,"Chicken glazed with honey and chili, providing a sweet and spicy flavor profile."
Keema Beef Curry,Commons,0,1,0,Lunch,0,0,1,https://www.tamingtwins.com/wp-content/uploads/2023/04/keema-curry-beef-mince-1-680x905-1-e1681830497742.jpg,"Savory keema beef curry, offering a flavorful and hearty option for lunch or dinner."
Rice Noodles,Commons,0,1,0,Lunch,0,0,1,https://www.sonshinekitchen.com/wp-content/uploads/2024/01/quick-easy-garlic-rice-noodles-recipe-500x500.jpg,"Soft rice noodles tossed in savory sauces, perfect for a light and delicious meal."
Green Curried Tofu,Commons,0,1,0,Lunch,1,1,1,https://thehiddenveggies.com/wp-content/uploads/2022/01/Thai-green-curry-with-tofu-sq.jpg,"Tofu cooked in fragrant green curry, providing a flavorful vegan option."
Spiced Basmati,Commons,0,1,0,Lunch,1,1,1,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-967549_11-f181479.jpg?quality=90&resize=440,400","Aromatic spiced basmati rice, fluffy and perfect as a side dish."
Sesame Snap Peas,Commons,0,1,0,Lunch,1,1,1,https://www.spendwithpennies.com/wp-content/uploads/2016/02/Sesame-Ginger-Snap-Peas-SpendWithPennies-10.jpg,"Crunchy sesame snap peas, offering a fresh and crisp addition to any meal."
"Cauliflower, Carrots, Tomatoes, Broccoli, and Kale",Commons,0,1,0,Lunch,1,1,1,https://cleananddelicious.com/wp-content/uploads/2021/11/roasted-vegetables-1.jpg,"Medley of cauliflower, carrots, tomatoes, broccoli, and kale, providing a colorful veggie mix."
Indian Naan,Commons,0,1,0,Lunch,0,1,0,https://www.thespruceeats.com/thmb/MReCj8olqrCsPaGvikesPJie02U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/naan-leavened-indian-flatbread-1957348-final-08-116a2e523f6e4ee693b1a9655784d9b9.jpg,"Soft and fluffy Indian naan bread, perfect for dipping or enjoying alongside meals."
Pickled Vegetables,Commons,0,1,0,Lunch,0,0,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4qcb22gGxNUZKydb5NtUQ4S9_6pxU7DaqAw&s,"Tangy pickled vegetables, offering a refreshing and zesty side to any meal."
Wonton Srip,Commons,0,1,0,Lunch,0,1,1,https://www.seriouseats.com/thmb/w3nBKYzKod0M3jJGylNymmZHf8o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__images__2013__04__20130407-wonton-soup-food-lab-52-c5bdd4230804496b86c1055acd674393.jpg,"Crispy wontons filled with savory ingredients, perfect for dipping or snacking."
Eel Sauce,Commons,0,1,0,Lunch,0,0,0,https://www.allrecipes.com/thmb/6-x5oDd8YGe0iQs8KI686vpCrys=/0x512/filters:no_upscale():max_bytes(150000):strip_icc()/AR-201093-Eel-Sauce-DDMFS-4x3-9c884e9e38394100a0a5a5aa9aa40ddb.jpg,"Rich eel sauce, adding a sweet and savory flavor to sushi and other dishes."
Siracha Mayo,Commons,0,1,0,Lunch,0,0,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVcqULQ-mAoV7hLL7SVH3nLKKYwNWBsUu2sA&s,"Creamy sriracha mayo, offering a spicy kick for sandwiches and wraps."
Teriyaki Pork Loin,Commons,0,1,0,Lunch,0,0,0,https://butteryourbiscuit.com/wp-content/uploads/2024/04/teriyaki-grilled-pork-tenderloin-11.jpg,"Tender teriyaki pork loin, glazed with sweet and savory sauce, perfect for lunch or dinner."
Yakisoba with Snap Peas,Commons,0,1,0,Lunch,1,1,0,https://www.simplesweetsavory.com/wp-content/uploads/2018/09/Beef-Yakisoba-with-Sugar-Snap-Peas-finished-side-small.jpg,"Flavorful yakisoba noodles stir-fried with snap peas, offering a satisfying dish."
PB Gouchujang Chicken,Commons,0,1,0,Lunch,1,1,0,https://sachaservedwhat.com/wp-content/uploads/2024/10/Crispy-Tofu-with-Peanut-Sauce-Sacha-Served-What-3.jpeg,"Spicy peanut gochujang chicken, delivering a flavorful kick in every bite."
White Rice,Commons,0,1,0,Lunch,1,1,0,https://asassyspoon.com/wp-content/uploads/cuban-white-rice-1.jpg,"Fluffy white rice, perfect as a base for various dishes or as a side."
Sigeumchi Namul,Commons,0,1,0,Lunch,1,1,1,https://www.seriouseats.com/thmb/D1SJ4ccOv-5tkTGiSecYY3DHj-s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2020__02__20200205-banchan-SIGEUMCHi-NAMUL-marinated-spinach-vicky-wasik-4-867638e5d0584cd4ada40366dd9d0f41.jpg,"Sigeumchi namul, seasoned spinach providing a nutritious and flavorful side dish."
Midori Vegetable Blend,Commons,0,1,0,Lunch,0,0,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCSsYYB3oQOskmhoAbHCBWrrXPkzOx4aYRqQ&s,"Colorful midori vegetable blend, offering a fresh mix of veggies for any meal."
Korean Chicken Skewers,Commons,0,1,0,Lunch,0,0,1,https://futuredish.com/wp-content/uploads/2017/12/Korean-Chicken-Skewers.jpg,"Grilled Korean chicken skewers, marinated in savory flavors for a delicious option."
Vegetable Spring Rolls,Commons,0,1,0,Lunch,1,1,0,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/04/spring-rolls-with-vegetables.jpg,"Crispy vegetable spring rolls, providing a light and crunchy appetizer or snack."
Sesame Garlic Chicken,Commons,0,1,0,Lunch,0,0,0,https://www.dinneratthezoo.com/wp-content/uploads/2015/04/sesame-chicken-1.jpg,"Tender sesame garlic chicken, delivering bold flavors in every bite."
Beef Bulgogi,Commons,0,1,0,Lunch,0,0,1,https://www.allrecipes.com/thmb/7exJEmC0HnVrGF58L9IhQ2j0ePk=/0x512/filters:no_upscale():max_bytes(150000):strip_icc()/100606-beef-bulgogi-DDMFS-4x3-b59a31e8b94f4c7091e333847bf0c406.jpg,"Savory beef bulgogi, marinated and grilled, perfect for serving with rice or noodles."
Five Spice Classic Plant Based Cutlet,Commons,0,1,0,Lunch,1,1,1,https://exploringvegan.com/wp-content/uploads/2024/05/Meati-Classic-Cutlet-Recipe-1.png,"Plant-based cutlet seasoned with five spices, offering a flavorful meat alternative."
Kimchi Fried Rice,Commons,0,1,0,Lunch,0,0,0,"https://cdn.apartmenttherapy.info/image/upload/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_1:1/k%2FPhoto%2FRecipes%2F2023-12-kimchi-fried-rice%2Fkimchi-fried-rice-197","Flavorful kimchi fried rice, offering a spicy and tangy option for a hearty meal."
Roasted Carrots,Commons,0,1,0,Lunch,1,1,1,https://www.spendwithpennies.com/wp-content/uploads/2018/10/Spend-With-Pennies-Roasted-Carrots-25.jpg,"Sweet roasted carrots, caramelized for a delightful side dish."
Far East Vegetables,Commons,0,1,0,Lunch,1,1,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSe3QF_I3w4qT9wFWG0Duxw0zcklwyIplfj7A&s,"Fresh far east vegetable medley, providing a colorful mix of seasonal veggies."
Pork Egg Rolls,Commons,0,1,0,Lunch,0,0,0,https://playswellwithbutter.com/wp-content/uploads/2022/12/Pork-Egg-Rolls-23.jpg,"Crispy pork egg rolls, filled with savory ingredients for a tasty snack."
Indian Saffron Chicken,Commons,0,1,0,Lunch,0,0,0,https://i0.wp.com/djalalicooks.com/wp-content/uploads/2022/01/IMG_1192.jpg?resize=787%2C1024&ssl=1,"Flavorful Indian saffron chicken, delivering aromatic spices for a delicious meal."
Thai BBQ Salmon,Commons,0,1,0,Lunch,0,0,0,https://s23209.pcdn.co/wp-content/uploads/2016/07/Thai-Salmon-in-FoilIMG_9839edit-1.jpg,"Tender Thai BBQ salmon, grilled and glazed with a sweet and spicy sauce."
Chana Masala,Commons,0,1,0,Lunch,1,1,1,https://ministryofcurry.com/wp-content/uploads/2023/06/chana-masala_-5.jpg,"Spicy chana masala, offering hearty chickpeas in a flavorful tomato sauce."
Basmati rice,Commons,0,1,0,Lunch,1,1,1,https://www.indianhealthyrecipes.com/wp-content/uploads/2023/07/basmati-rice-recipe-500x500.jpg,"Fluffy basmati rice, perfect as a side dish or base for various meals."
Coconut Rice,Commons,0,1,0,Lunch,1,1,1,https://www.allrecipes.com/thmb/D-ReFVPlS8yXPHxNwGT5RkRt1cI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/237021-sweet-coconut-rice-ddmfs-beauty-4x3-BG-2942-fdf249042cf64e9cb76f780de3a52fa9.jpg,"Sweet coconut rice, providing a creamy and tropical flavor perfect for pairing with dishes."
Cumin Roasted Carrots,Commons,0,1,0,Lunch,1,1,1,https://www.bhg.com/thmb/Z4VUyi1CB4m9a_R2Ak1DeWC4H_c=/1244x0/filters:no_upscale():strip_icc()/honey-cumin-roasted-carrots-RU297262-7f081a9d7fb54dab883c58e0f6d28f4b.jpg,"Cumin roasted carrots, seasoned with spices for a flavorful side."
Kyoto Vegetable Blend,Commons,0,1,0,Lunch,1,1,0,https://images.ctfassets.net/0dkgxhks0leg/5tNiD9oJJ3yhCoGLC660cB/555a449c4c38a9609fd4b8dbb2c9a2c7/TF_20FW_22_20Riced_20Cauliflower_20Fried_20Rice.jpg,"Colorful Kyoto vegetable blend, offering a fresh mix for any meal."
Thai Vegetable Spring Rolls,Commons,0,1,0,Lunch,1,1,0,https://www.marionskitchen.com/wp-content/uploads/2019/02/20170828_spring-roll-FB-Live-3-e1552875551168.jpg,"Crispy Thai vegetable spring rolls, perfect for dipping in sweet sauce."
Garlic Ginger Chicken Wings,Commons,0,1,0,Lunch,0,0,0,https://www.carnaldish.com/wp-content/uploads/2015/09/garlicgingerwings4.jpg,"Sticky garlic ginger chicken wings, providing a sweet and spicy kick."
Red Curry Shrimp,Commons,0,1,0,Lunch,0,0,0,https://peasandcrayons.com/wp-content/uploads/2019/10/thai-coconut-shrimp-curry-recipe-2.jpg,"Spicy red curry shrimp, cooked in rich coconut milk and spices for a flavorful dish."
Honey Garlic Plant Based Meatballs,Commons,0,1,0,Lunch,1,1,1,https://www.persnicketyplates.com/wp-content/uploads/2021/11/crockpot-honey-garlic-meatballs-SQUARE.jpg,"Sweet honey garlic plant-based meatballs, perfect for a savory and satisfying meal."
Jasmine Rice,Commons,0,1,0,Lunch,1,1,1,https://www.onceuponachef.com/images/2014/10/jasmine-rice-1-1200x900.jpg,"Fluffy jasmine rice, ideal as a side or base for delicious dishes."
Fried Rice,Commons,0,1,0,Lunch,0,0,1,https://www.madewithlau.com/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2F2r0kdewr%2Fproduction%2F2c90f6410d47972d8555dd5ddcbcc47346957d43-1000x668.jpg&w=3840&q=75,"Flavorful fried rice, packed with veggies and protein for a satisfying meal."
Sesame Mushrooms and Broccoli,Commons,0,1,0,Lunch,1,1,1,https://omnivorescookbook.com/wp-content/uploads/2023/11/230911_Broccoli-And-Mushroom-Stir-Fry_550.jpg,"Crunchy sesame mushrooms and broccoli, delivering fresh flavors to complement any meal."
California Vegetable Blend,Commons,0,1,0,Lunch,0,0,0,https://thestayathomechef.com/wp-content/uploads/2023/06/Simple-California-Blend_Square-1.jpg,"Colorful California vegetable blend, providing a nutritious mix for sides or entrees."
Crab Rangoons,Commons,0,1,0,Lunch,0,0,1,https://twoplaidaprons.com/wp-content/uploads/2023/03/crab-wontons-thumbnail.jpg,"Crispy crab rangoons filled with creamy crab mixture, perfect for dipping."
Greek Chicken,Commons,0,1,0,Lunch,0,0,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ82lMWrp2qddCvTjwDLSjjWaMZFZv8gBTFJw&s,"Savory Greek chicken marinated in herbs, ideal for grilling or roasting."
Beef and Lamb Gyro,Commons,0,1,0,Lunch,0,0,0,https://tastesbetterfromscratch.com/wp-content/uploads/2023/07/Gyros-1.jpg,"Flavorful beef and lamb gyro, served in warm pita with fresh toppings."
French Fries,Commons,0,1,0,Lunch,1,1,1,https://www.recipetineats.com/tachyon/2022/09/Fries-with-rosemary-salt_1.jpg,"Crispy French fries, golden brown and delicious, perfect for snacking or as a side."
Roasted Fresh Vegetables,Commons,0,1,0,Lunch,1,1,1,https://www.cookingclassy.com/wp-content/uploads/2018/12/roasted-vegetables-8.jpg,"Flavorful roasted fresh vegetables, perfect as a side dish for any meal."
Pita Bread,Commons,0,1,0,Lunch,0,0,0,https://www.mygreekdish.com/wp-content/uploads/2014/10/Easiest-homemade-Pita-Bread-recipe-scaled.jpeg,"Soft pita bread, perfect for scooping or wrapping around your favorite fillings."
Tzatziki Sauce,Commons,0,1,0,Lunch,0,1,1,https://www.allrecipes.com/thmb/xWPLxr-zI_VqbjoY1GmtPwi46mM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/20242-tzatziki-sauce-DDMFS-4x3-70d89ee85fb544d1a41344c0836aa36d.jpg,"Creamy tzatziki sauce, made with yogurt and cucumber, ideal for dipping or dressing."
Spanakpita,Commons,0,1,0,Lunch,0,0,0,https://www.thehungrybites.com/wp-content/uploads/2020/10/Greek-spinach-pie-spanakopita-1.jpg,"Flaky spanakopita filled with spinach and cheese, offering a savory pastry option."
Falafel,Commons,0,1,0,Lunch,1,1,1,https://tastythriftytimely.com/wp-content/uploads/2023/06/Falafel-Pita-FEATURED.jpg,"Crispy falafel balls made from chickpeas, perfect for a plant-based protein option."
Mojo Pork,Commons,0,1,0,Lunch,0,0,0,https://assets.bonappetit.com/photos/6374d66d6cc47ec05a9b4588/1:1/w_2560%2Cc_limit/Bon%2520AP0250.jpg,"Tender mojo pork marinated in citrus, perfect for sandwiches or as a main dish."
Ropa Vieja,Commons,0,1,0,Lunch,0,0,0,https://www.allrecipes.com/thmb/h3LsTZQ5FKdOgD9gCxrOYJEHrr0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/79301-cuban-ropa-vieja-DDMFS-4x3-0daa8085c6cd4423981002ffae990fb1.jpg,"Flavorful ropa vieja, featuring shredded beef in a savory sauce, perfect for lunch."
Vegan Cuban picadillo,Commons,0,1,0,Lunch,1,1,0,https://www.cottercrunch.com/wp-content/uploads/2017/01/Cuban-Sweet-Potato-Picadillo-Bowls-Vegan-Cuban-Sweet-Potato-Picadillo-Bowls-Vegan-9-scaled.jpg,"Plant-based vegan Cuban picadillo, offering a savory and hearty meat alternative."
Cilantro Lime Rice,Commons,0,1,0,Lunch,1,1,1,https://www.skinnytaste.com/wp-content/uploads/2009/03/Cilantro-Lime-Rice-5.jpg,"Fluffy cilantro lime rice, providing a fresh and zesty side for any meal."
Siracha Lime Roasted Cauliflower,Commons,0,1,0,Lunch,0,1,1,https://fashionablefoods.com/wp-content/uploads/2015/10/Cauliflower-with-Sriracha.jpg,"Spicy sriracha lime roasted cauliflower, delivering bold flavors and a crunchy texture."
Sauteed Peppers and Onions,Commons,0,1,0,Lunch,1,1,1,https://www.acouplecooks.com/wp-content/uploads/2020/09/Sauteed-Peppers-and-Onions-008.jpg,"Sautéed peppers and onions, offering a flavorful addition to wraps and bowls."
Flour Tortillas,Commons,0,1,0,Lunch,1,1,1,https://www.halfbakedharvest.com/wp-content/uploads/2022/04/Easy-Homemade-Flour-Tortillas-1.jpg,"Soft flour tortillas, perfect for wrapping around delicious fillings."
Taqueria Black Beans,Commons,0,1,0,Lunch,1,1,1,https://www.nourish-and-fete.com/wp-content/uploads/2021/04/black-bean-tacos-5.jpg,"Savory taqueria black beans, seasoned and perfect for tacos or bowls."
Avocado Cream Sauce,Commons,0,1,0,Lunch,0,0,0,https://cdn.loveandlemons.com/wp-content/uploads/2021/04/avocado-sauce.jpg,"Creamy avocado cream sauce, ideal for drizzling over dishes for added flavor."
Taqueria Salsa Roja,Commons,0,1,0,Lunch,1,1,0,https://mexicanmademeatless.com/wp-content/uploads/2024/01/Salsa-Taquera-Recipe.jpg,"Fresh taqueria salsa roja, offering a spicy and flavorful tomato salsa."
Meat Lasagna,Commons,0,1,0,Lunch,0,0,0,https://dinnerthendessert.com/wp-content/uploads/2016/04/Ultimate-Meat-Lasagna-3-1.jpg,"Hearty meat lasagna layered with cheese and sauce, providing a comforting meal."
Chicken Picatta,Commons,0,1,0,Lunch,0,0,0,https://www.saltandlavender.com/wp-content/uploads/2020/02/chicken-piccata-1.jpg,"Tender chicken piccata with lemon and capers, offering a savory and zesty flavor."
Plant Based Meatballs and Spaghetti,Commons,0,1,0,Lunch,1,1,1,https://cdn.loveandlemons.com/wp-content/uploads/2020/02/spaghetti-and-meatballs.jpg,"Plant-based meatballs served with spaghetti and marinara sauce, offering a delicious meal."
Rice Pilaf,Commons,0,1,0,Lunch,0,0,0,https://www.sipandfeast.com/wp-content/uploads/2024/03/rice-pilaf-recipe-snippet.jpg,"Flavorful rice pilaf, seasoned and fluffy, perfect as a side dish."
Steamed Broccoli,Commons,0,1,0,Lunch,1,1,1,https://www.onceuponachef.com/images/2024/05/Steamed-Broccoli-in-Pan-Method-4.jpg,"Crisp steamed broccoli, providing a nutritious side dish for any meal."
Steamed Green Beans,Commons,0,1,0,Lunch,1,1,1,https://www.budgetbytes.com/wp-content/uploads/2020/09/How-to-Steam-Green-Beans-H-500x375.jpg,"Fresh steamed green beans, offering a light and healthy side option."
Focaccia,Commons,0,1,0,Lunch,0,0,0,https://theplantbasedschool.com/wp-content/uploads/2024/04/Focaccia-with-rosemary.jpg,"Soft focaccia bread, perfect for dipping in oils or enjoying on its own."
Parmesan Cheese,Commons,0,1,0,Lunch,0,1,0,https://assets.clevelandclinic.org/transform/0a272376-d2c4-4936-8239-7c7ef2e5b4e9/ParmesanCheese-471343790-770x533-1_jpg,"Grated parmesan cheese, perfect for topping pasta dishes or salads."
Italian Beef,Commons,0,1,0,Lunch,0,0,0,https://www.portillos.com/assets/1/27/DimRegular/Italian_Beef.jpg?3910,"Savory Italian beef, served on a bun for a hearty sandwich option."
Lemon Oregano Chicken,Commons,0,1,0,Lunch,0,0,0,https://kaleforniakravings.com/wp-content/uploads/2023/04/Lemon-oregano-chicken-500x500.jpg,"Herb and lemon marinated oregano chicken, delivering fresh flavors in every bite."
Eggplant Parmesan,Commons,0,1,0,Lunch,0,0,0,https://www.allrecipes.com/thmb/v8J8OelKo1bEJ9RyekLtL89A_R0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4457679-eggplant-parmesan-gluten-free-Buckwheat-Queen-4x3-1-1380f16c6cc14e059f7ae7d741d390d9.jpg,"Flavorful eggplant parmesan baked with cheese and marinara, offering a comforting dish."
Onion Rings,Commons,0,1,0,Lunch,0,0,1,https://www.allrecipes.com/thmb/riouEgfO9AywX0nYG73z8GGraHk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/207422_Old-Fashioned-Onion-Rings_82659_Photo-by-Tricia-Winterle-Jaeger-2000-a96820e27cb64cafa8c4925ad027a59d.jpg,"Crispy onion rings, perfect for snacking or adding crunch to meals."
Garlic Mushrooms,Commons,0,1,0,Lunch,1,1,1,https://cafedelites.com/wp-content/uploads/2018/10/Garlic-Mushrooms-IMAGE-4.jpg,"Garlic sautéed mushrooms, offering a savory side dish perfect for any meal."
Three Cheese Sauce,Commons,0,1,0,Lunch,0,0,0,https://target.scene7.com/is/image/Target/GUEST_4c9d1b52-6867-4410-b8a1-7ca2bb748d0f?wid=488&hei=488&fmt=pjpeg,"Creamy three cheese sauce, perfect for pasta or as a dip for appetizers."
